Module,DescriptionStart,DescriptionEnd,Flags,Namespace,Name,Summary

1,7,,,,OutOfSessions,
1,14,,,,InvalidArgument,
1,33,,,,NotImplemented,
1,54,,,,StopProcessingException,
1,57,,,,NoSynchronizationObject,
1,59,,,,TerminationRequested,
1,70,,,,NoEvent,

1,101,,,,InvalidSize,
1,102,,,,InvalidAddress,
1,103,,,,OutOfResource,
1,104,,,,OutOfMemory,
1,105,,,,OutOfHandles,
1,106,,,,InvalidCurrentMemory,
1,108,,,,InvalidNewMemoryPermission,
1,110,,,,InvalidMemoryRegion,
1,112,,,,InvalidPriority,
1,113,,,,InvalidCoreId,
1,114,,,,InvalidHandle,
1,115,,,,InvalidPointer,
1,116,,,,InvalidCombination,
1,117,,,,TimedOut,
1,118,,,,Cancelled,
1,119,,,,OutOfRange,
1,120,,,,InvalidEnumValue,
1,121,,,,NotFound,
1,122,,,,Busy,
1,123,,,,SessionClosed,
1,124,,,,NotHandled,
1,125,,,,InvalidState,
1,126,,,,ReservedUsed,
1,127,,,,NotSupported,
1,128,,,,Debug,
1,129,,,,NoThread,
1,130,,,,UnknownThread,
1,131,,,,PortClosed,
1,132,,,,LimitReached,
1,133,,,,InvalidMemoryPool,

1,258,,,,ReceiveListBroken,
1,259,,,,OutOfAddressSpace,
1,260,,,,MessageTooLarge,

1,517,,,,InvalidProcessId,
1,518,,,,InvalidThreadId,
1,519,,,,InvalidId,
1,520,,,,ProcessTerminated,

2,0,999,,,HandledByAllProcess,
2,1,,,,PathNotFound,Specified path does not exist
2,2,,,,PathAlreadyExists,Specified path already exists
2,7,,,,TargetLocked,"Resource already in use (file already opened, savedata filesystem already mounted)"
2,8,,,,DirectoryNotEmpty,Specified directory is not empty when trying to delete it
2,13,,,,DirectoryStatusChanged,

2,30,45,,,UsableSpaceNotEnough,
2,31,,,,UsableSpaceNotEnoughForSaveData,
2,32,,,,UsableSpaceNotEnoughForSaveDataEvenAssistanceSuccess,
2,33,,,,UsableSpaceNotEnoughForCacheStorage,
2,34,38,,,UsableSpaceNotEnoughMmc,
2,35,,,,UsableSpaceNotEnoughMmcCalibration,
2,36,,,,UsableSpaceNotEnoughMmcSafe,
2,37,,,,UsableSpaceNotEnoughMmcUser,
2,38,,,,UsableSpaceNotEnoughMmcSystem,
2,39,,,,UsableSpaceNotEnoughSdCard,
2,50,,,,UnsupportedSdkVersion,
2,60,,,,MountNameAlreadyExists,
2,70,,,,IndividualFileDataCacheAlreadyEnabled,

2,1000,2999,,,HandledBySystemProcess,
2,1001,,,,PartitionNotFound,
2,1002,,,,TargetNotFound,
2,1003,,,,HasNotGottenPatrolCount,
2,1004,,,,NcaExternalKeyUnregistered,The requested external key was not found

2,2000,2499,,,SdCardAccessFailed,
2,2001,,,,PortSdCardNoDevice,
2,2002,,,,PortSdCardNotActivated,
2,2003,,,,PortSdCardDeviceRemoved,
2,2004,,,,PortSdCardNotAwakened,

2,2032,2126,,,PortSdCardCommunicationError,
2,2033,2046,,,PortSdCardCommunicationNotAttained,
2,2034,,,,PortSdCardResponseIndexError,
2,2035,,,,PortSdCardResponseEndBitError,
2,2036,,,,PortSdCardResponseCrcError,
2,2037,,,,PortSdCardResponseTimeoutError,
2,2038,,,,PortSdCardDataEndBitError,
2,2039,,,,PortSdCardDataCrcError,
2,2040,,,,PortSdCardDataTimeoutError,
2,2041,,,,PortSdCardAutoCommandResponseIndexError,
